path,size_bytes,modified_utc,included_in_raw_zip,line_count,parse_errors
logs\live_run_20260625_190228.jsonl,454,2026-06-25T19:03:20.785074+00:00,True,1,0
logs\live_run_20260625_190338.jsonl,454,2026-06-25T19:04:29.656803+00:00,True,1,0
logs\live_run_20260625_190447.jsonl,454,2026-06-25T19:05:36.151583+00:00,True,1,0
logs\live_run_20260625_194421.jsonl,16559,2026-06-25T20:02:35.631393+00:00,True,42,0
logs\live_run_20260625_200341.jsonl,11673,2026-06-25T20:19:44.821518+00:00,True,36,0
logs\live_run_20260625_202229.jsonl,13863,2026-06-25T20:43:24.765065+00:00,True,42,0
logs\live_run_20260625_204357.jsonl,59567,2026-06-25T22:07:58.355926+00:00,True,166,0
logs\live_run_20260625_220844.jsonl,123791,2026-06-26T00:03:42.829255+00:00,True,236,0
logs\live_run_20260626_000858.jsonl,20215,2026-06-26T00:26:39.804474+00:00,True,40,0
logs\live_run_20260626_002917.jsonl,5743,2026-06-26T00:34:00.496434+00:00,True,13,0
logs\live_run_20260626_003719.jsonl,744,2026-06-26T00:37:20.450774+00:00,True,1,0
logs\live_run_20260626_003733.jsonl,744,2026-06-26T00:37:34.643460+00:00,True,1,0
logs\live_run_20260626_003937.jsonl,744,2026-06-26T00:39:38.520515+00:00,True,1,0
logs\live_run_20260626_004003.jsonl,744,2026-06-26T00:40:04.312248+00:00,True,1,0
logs\live_run_20260626_004202.jsonl,744,2026-06-26T00:42:03.523544+00:00,True,1,0
logs\live_run_20260626_004439.jsonl,744,2026-06-26T00:44:40.276708+00:00,True,1,0
logs\live_run_20260626_004721.jsonl,744,2026-06-26T00:47:21.586663+00:00,True,1,0
logs\live_run_20260626_005029.jsonl,743,2026-06-26T00:50:30.568153+00:00,True,1,0
logs\live_run_20260626_005106.jsonl,743,2026-06-26T00:51:06.587588+00:00,True,1,0
logs\live_run_20260626_005131.jsonl,743,2026-06-26T00:51:31.912385+00:00,True,1,0
logs\live_run_20260626_005205.jsonl,743,2026-06-26T00:52:06.064908+00:00,True,1,0
logs\live_run_20260626_005431.jsonl,744,2026-06-26T00:54:32.426398+00:00,True,1,0
logs\live_run_20260626_005601.jsonl,743,2026-06-26T00:56:01.768152+00:00,True,1,0
logs\live_run_20260626_005907.jsonl,743,2026-06-26T00:59:08.041424+00:00,True,1,0
logs\live_run_20260626_012926.jsonl,743,2026-06-26T01:29:27.708157+00:00,True,1,0
logs\live_run_20260626_014158.jsonl,744,2026-06-26T01:41:58.737064+00:00,True,1,0
logs\live_run_20260626_015722.jsonl,744,2026-06-26T01:57:23.229833+00:00,True,1,0
logs\live_run_20260626_020353.jsonl,744,2026-06-26T02:03:53.993306+00:00,True,1,0
logs\live_run_20260626_020508.jsonl,744,2026-06-26T02:05:09.541429+00:00,True,1,0
logs\live_run_20260626_020652.jsonl,744,2026-06-26T02:06:52.943049+00:00,True,1,0
logs\live_run_20260626_020947.jsonl,744,2026-06-26T02:09:47.703706+00:00,True,1,0
logs\live_run_20260626_021821.jsonl,744,2026-06-26T02:18:22.958957+00:00,True,1,0
logs\live_run_20260626_021914.jsonl,744,2026-06-26T02:19:15.398700+00:00,True,1,0
logs\live_run_20260626_022646.jsonl,744,2026-06-26T02:26:46.860243+00:00,True,1,0
logs\live_run_20260626_022707.jsonl,744,2026-06-26T02:27:08.679595+00:00,True,1,0
logs\live_run_20260626_083252.jsonl,744,2026-06-26T08:32:53.546363+00:00,True,1,0
logs\live_run_20260626_083513.jsonl,744,2026-06-26T08:35:14.505625+00:00,True,1,0
logs\live_run_20260626_084801.jsonl,744,2026-06-26T08:48:01.642122+00:00,True,1,0
logs\live_run_20260626_084853.jsonl,743,2026-06-26T08:48:54.070102+00:00,True,1,0
logs\live_run_20260626_084945.jsonl,744,2026-06-26T08:49:46.596494+00:00,True,1,0
logs\live_run_20260626_085754.jsonl,743,2026-06-26T08:57:54.564221+00:00,True,1,0
logs\live_run_20260626_085914.jsonl,743,2026-06-26T08:59:14.931815+00:00,True,1,0
logs\live_run_20260626_090323.jsonl,744,2026-06-26T09:03:23.912887+00:00,True,1,0
logs\live_run_20260626_090613.jsonl,743,2026-06-26T09:06:14.435864+00:00,True,1,0
logs\live_run_20260626_090647.jsonl,743,2026-06-26T09:06:47.821900+00:00,True,1,0
logs\live_run_20260626_092734.jsonl,742,2026-06-26T09:27:35.054562+00:00,True,1,0
logs\live_run_20260626_093221.jsonl,743,2026-06-26T09:32:21.973851+00:00,True,1,0
logs\live_run_20260626_093459.jsonl,743,2026-06-26T09:34:59.692161+00:00,True,1,0
logs\live_run_20260626_095631.jsonl,743,2026-06-26T09:56:31.912321+00:00,True,1,0
logs\live_run_20260626_095745.jsonl,743,2026-06-26T09:57:45.658581+00:00,True,1,0
logs\live_run_20260626_100232.jsonl,743,2026-06-26T10:02:33.546886+00:00,True,1,0
logs\live_run_20260626_100254.jsonl,743,2026-06-26T10:02:55.281056+00:00,True,1,0
logs\live_run_20260626_100727.jsonl,743,2026-06-26T10:07:28.632912+00:00,True,1,0
logs\live_run_20260626_101912.jsonl,743,2026-06-26T10:19:13.610151+00:00,True,1,0
logs\live_run_20260626_102517.jsonl,743,2026-06-26T10:25:18.425884+00:00,True,1,0
logs\live_run_20260626_102716.jsonl,743,2026-06-26T10:27:17.283322+00:00,True,1,0
logs\live_run_20260626_103031.jsonl,743,2026-06-26T10:30:32.335008+00:00,True,1,0
logs\live_run_20260626_103115.jsonl,743,2026-06-26T10:31:16.622801+00:00,True,1,0
logs\live_run_20260626_103202.jsonl,743,2026-06-26T10:32:02.990994+00:00,True,1,0
logs\live_run_20260626_103331.jsonl,5366,2026-06-26T10:34:54.128327+00:00,True,4,0
logs\live_run_20260626_104648.jsonl,743,2026-06-26T10:46:49.641504+00:00,True,1,0
logs\live_run_20260626_110354.jsonl,743,2026-06-26T11:03:55.882546+00:00,True,1,0
logs\live_run_20260626_111124.jsonl,743,2026-06-26T11:11:25.405902+00:00,True,1,0
logs\live_run_20260626_112330.jsonl,743,2026-06-26T11:23:31.056143+00:00,True,1,0
logs\live_run_20260626_112337.jsonl,743,2026-06-26T11:23:38.313335+00:00,True,1,0
logs\live_run_20260626_113926.jsonl,743,2026-06-26T11:39:27.389008+00:00,True,1,0
logs\live_run_20260626_114021.jsonl,743,2026-06-26T11:40:21.889396+00:00,True,1,0
logs\live_run_20260626_114302.jsonl,743,2026-06-26T11:43:03.411092+00:00,True,1,0
logs\live_run_20260626_114519.jsonl,743,2026-06-26T11:45:19.837459+00:00,True,1,0
logs\live_run_20260626_114922.jsonl,743,2026-06-26T11:49:23.077195+00:00,True,1,0
logs\live_run_20260626_115121.jsonl,743,2026-06-26T11:51:22.523584+00:00,True,1,0
logs\live_run_20260626_115332.jsonl,743,2026-06-26T11:53:32.928268+00:00,True,1,0
logs\live_run_20260626_115720.jsonl,743,2026-06-26T11:57:20.829326+00:00,True,1,0
logs\live_run_20260626_121805.jsonl,743,2026-06-26T12:18:06.816515+00:00,True,1,0
logs\live_run_20260626_122537.jsonl,742,2026-06-26T12:25:38.646397+00:00,True,1,0
logs\live_run_20260626_123043.jsonl,743,2026-06-26T12:30:44.451731+00:00,True,1,0
logs\live_run_20260626_124332.jsonl,743,2026-06-26T12:43:33.475552+00:00,True,1,0
