ticket,time,time_msc,time_update,time_update_msc,type,magic,identifier,reason,volume,price_open,sl,tp,price_current,swap,profit,symbol,comment,external_id,time_iso,time_msc_iso
1209120,1782509496,1782509496855,1782510418,1782510418831,1,0,1209120,0,2.0,58.5988,0.0,0.0,59.6,0.0,-10012.0,XAGUSD,,,2026-06-26T21:31:36+00:00,2026-06-26T21:31:36.855000+00:00
1217171,1782511148,1782511148775,1782511148,1782511148778,0,0,1217171,0,5.0,4091.1998,0.0,0.0,4085.77,0.0,-2714.9,XAUUSD,,,2026-06-26T21:59:08+00:00,2026-06-26T21:59:08.775000+00:00
